tile_filename,source_filename,magnification,tile_row_idx,tile_col_idx,row0,col0,tile_size_px,source_height_px,source_width_px,tile_path
62990661-C-100X_r00000_c00000.npy,62990661-C-100X.JPG,100,0,0,0,0,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c00000.npy
62990661-C-100X_r00000_c00256.npy,62990661-C-100X.JPG,100,0,1,0,256,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c00256.npy
62990661-C-100X_r00000_c00512.npy,62990661-C-100X.JPG,100,0,2,0,512,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c00512.npy
62990661-C-100X_r00000_c00768.npy,62990661-C-100X.JPG,100,0,3,0,768,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c00768.npy
62990661-C-100X_r00000_c01024.npy,62990661-C-100X.JPG,100,0,4,0,1024,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c01024.npy
62990661-C-100X_r00000_c01280.npy,62990661-C-100X.JPG,100,0,5,0,1280,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c01280.npy
62990661-C-100X_r00000_c01536.npy,62990661-C-100X.JPG,100,0,6,0,1536,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c01536.npy
62990661-C-100X_r00000_c01792.npy,62990661-C-100X.JPG,100,0,7,0,1792,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c01792.npy
62990661-C-100X_r00000_c02048.npy,62990661-C-100X.JPG,100,0,8,0,2048,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c02048.npy
62990661-C-100X_r00000_c02304.npy,62990661-C-100X.JPG,100,0,9,0,2304,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c02304.npy
62990661-C-100X_r00000_c02560.npy,62990661-C-100X.JPG,100,0,10,0,2560,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c02560.npy
62990661-C-100X_r00000_c02816.npy,62990661-C-100X.JPG,100,0,11,0,2816,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c02816.npy
62990661-C-100X_r00000_c02944.npy,62990661-C-100X.JPG,100,0,12,0,2944,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00000_c02944.npy
62990661-C-100X_r00256_c00000.npy,62990661-C-100X.JPG,100,1,0,256,0,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c00000.npy
62990661-C-100X_r00256_c00256.npy,62990661-C-100X.JPG,100,1,1,256,256,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c00256.npy
62990661-C-100X_r00256_c00512.npy,62990661-C-100X.JPG,100,1,2,256,512,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c00512.npy
62990661-C-100X_r00256_c00768.npy,62990661-C-100X.JPG,100,1,3,256,768,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c00768.npy
62990661-C-100X_r00256_c01024.npy,62990661-C-100X.JPG,100,1,4,256,1024,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c01024.npy
62990661-C-100X_r00256_c01280.npy,62990661-C-100X.JPG,100,1,5,256,1280,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c01280.npy
62990661-C-100X_r00256_c01536.npy,62990661-C-100X.JPG,100,1,6,256,1536,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c01536.npy
62990661-C-100X_r00256_c01792.npy,62990661-C-100X.JPG,100,1,7,256,1792,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c01792.npy
62990661-C-100X_r00256_c02048.npy,62990661-C-100X.JPG,100,1,8,256,2048,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c02048.npy
62990661-C-100X_r00256_c02304.npy,62990661-C-100X.JPG,100,1,9,256,2304,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c02304.npy
62990661-C-100X_r00256_c02560.npy,62990661-C-100X.JPG,100,1,10,256,2560,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c02560.npy
62990661-C-100X_r00256_c02816.npy,62990661-C-100X.JPG,100,1,11,256,2816,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c02816.npy
62990661-C-100X_r00256_c02944.npy,62990661-C-100X.JPG,100,1,12,256,2944,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00256_c02944.npy
62990661-C-100X_r00512_c00000.npy,62990661-C-100X.JPG,100,2,0,512,0,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c00000.npy
62990661-C-100X_r00512_c00256.npy,62990661-C-100X.JPG,100,2,1,512,256,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c00256.npy
62990661-C-100X_r00512_c00512.npy,62990661-C-100X.JPG,100,2,2,512,512,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c00512.npy
62990661-C-100X_r00512_c00768.npy,62990661-C-100X.JPG,100,2,3,512,768,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c00768.npy
62990661-C-100X_r00512_c01024.npy,62990661-C-100X.JPG,100,2,4,512,1024,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c01024.npy
62990661-C-100X_r00512_c01280.npy,62990661-C-100X.JPG,100,2,5,512,1280,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c01280.npy
62990661-C-100X_r00512_c01536.npy,62990661-C-100X.JPG,100,2,6,512,1536,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c01536.npy
62990661-C-100X_r00512_c01792.npy,62990661-C-100X.JPG,100,2,7,512,1792,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c01792.npy
62990661-C-100X_r00512_c02048.npy,62990661-C-100X.JPG,100,2,8,512,2048,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c02048.npy
62990661-C-100X_r00512_c02304.npy,62990661-C-100X.JPG,100,2,9,512,2304,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c02304.npy
62990661-C-100X_r00512_c02560.npy,62990661-C-100X.JPG,100,2,10,512,2560,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c02560.npy
62990661-C-100X_r00512_c02816.npy,62990661-C-100X.JPG,100,2,11,512,2816,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c02816.npy
62990661-C-100X_r00512_c02944.npy,62990661-C-100X.JPG,100,2,12,512,2944,512,2304,3456,data/interim/tiles/62990661-C-100X/62990661-C-100X_r00512_c02944.npy
